Year,State,Light Vehicles, Truck, Bus, Motorcycle
2016,Nebraska,700277,13452,1182677,55360
2016,Nevada,1047362,3128,1273607,74562
2016,New Hampshire,529491,2798,712175,78218
2016,New Jersey,2847881,25049,2916966,151101
2016,New Mexico,661197,6283,1094604,61877
2016,New York,4890916,80780,5757925,392771
2016,North Carolina,3546363,32525,4496137,195618
2016,North Dakota,243338,2835,609781,39000
2016,Ohio,4693947,40844,5543152,408114
2016,Oklahoma,1379222,3171,2219075,135937
2016,Oregon,1483576,17069,2174823,136238
2016,Pennsylvania,4640471,55848,5659466,393037
2016,Rhode Island,436247,2285,406559,31137
2016,South Carolina,1840357,17713,2348248,118105
2016,South Dakota,364576,2339,764702,114742
2016,Tennessee,2347806,28042,3166114,167961
2016,Texas,8287254,66697,13037296,374919
2016,Utah,940604,5986,1288069,82623
2016,Vermont,229570,1092,354312,30976
2016,Virginia,3242520,33207,3833534,191820
2016,Washington,2935656,23055,3852843,236135
2016,West Virginia,584599,3324,1055812,61090
2016,Wisconsin,2159924,14712,3054434,335359
2016,Wyoming,211613,4218,609358,30041
2018,Alabama,2161212,5767,3023208,110012
2018,Alaska,183270,8473,580390,31550
2018,Arizona,2391772,8349,3235918,170274
2018,Arkansas,921161,12006,1792851,91127
2018,California,15065827,99692,15033965,822844
2018,Colorado,1798177,13303,3353669,190869
2018,Connecticut,1306709,11753,1473679,87660
2018,Delaware,433363,3802,543231,28071
2018,Dist. of Col.,209723,5088,132810,4312
2018,Florida,7966091,59557,8882855,587499
2018,Georgia,3557469,36314,4714799,203968
2018,Hawaii,509492,2936,723960,30998
2018,Idaho,598774,3809,1210554,66533
2018,Illinois,4477763,34649,5756734,319764
2018,Indiana,2248870,20937,3670024,250904
2018,Iowa,1242219,9357,2245710,194606
2018,Kansas,975171,6592,1607397,94850
2018,Kentucky,1721942,11006,2534172,101165
2018,Louisiana,1389249,29527,2352679,113664
2018,Maine,390506,4601,679175,51306
2018,Maryland,1922463,23050,2141056,118277
2018,Massachusetts,2182530,13747,2696290,168931
